time,lat,lon,depth_km,mag,FI_S,label
2015-08-15 15:38:21.830000+00:00,56.066317,160.619727,-1.32,0.64,-100.0,1
2015-08-15 15:46:57.360000+00:00,56.039095,160.670361,10.22,1.01,-100.0,1
2015-08-15 15:49:10.600000+00:00,56.041642,160.575488,26.21,1.28,-0.711,1
2015-08-15 16:30:59.570000+00:00,56.06641,160.628548,-0.85,1.07,-100.0,1
2015-08-15 16:44:38.050000+00:00,56.060913,160.620817,2.79,1.02,-100.0,1
2015-08-15 16:49:47.530000+00:00,56.04943,160.603044,30.79,1.57,-0.817,1
2015-08-15 17:56:38.120000+00:00,55.789962,160.325928,-0.39,0.42,-100.0,1
2015-08-15 18:34:06.660000+00:00,56.060046,160.614844,33.26,1.95,-0.833,1
2015-08-15 18:58:43.420000+00:00,56.054541,160.609652,31.04,1.7,-0.736,1
2015-08-15 19:20:08.540000+00:00,56.118925,160.467334,0.02,0.51,-0.499,1
2015-08-15 19:41:09.640000+00:00,56.052983,160.613265,31.12,1.55,-0.711,1
2015-08-15 19:53:29.220000+00:00,56.059013,160.618994,-1.51,0.76,-100.0,1
2015-08-15 20:08:45.300000+00:00,56.211617,160.804443,-2.1,0.99,-100.0,1
2015-08-15 20:38:07.100000+00:00,56.05588,160.611849,32.83,1.54,-0.649,1
2015-08-15 22:11:53.820000+00:00,56.137569,160.427913,1.84,1.14,-0.86,1
2015-08-15 22:36:31.640000+00:00,56.048612,160.612663,30.83,1.91,-0.75,1
2015-08-15 23:16:38.040000+00:00,56.066809,160.615576,-0.42,0.7,-100.0,1
2015-08-15 23:32:58.960000+00:00,56.049512,160.605355,29.61,1.9,-1.061,1
2015-08-16 00:02:21.840000+00:00,56.056934,160.60682,32.0,1.36,-0.829,1
2015-08-16 01:04:08.940000+00:00,56.054167,160.60874,30.92,1.72,-0.673,1
2015-08-16 02:06:36.050000+00:00,56.050948,160.604525,30.55,1.74,-0.777,1
2015-08-16 02:13:57.570000+00:00,55.67998,160.683008,18.15,0.98,-0.105,1
2015-08-16 03:20:53.470000+00:00,56.058134,160.610156,32.27,1.58,-0.746,1
